,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
163,71, Self-emp-not-inc,494223, Some-college,10.0, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States, <=50K
164,29, Private,191535, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
165,42, Private,228456, Bachelors,13.0, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States, <=50K
167,25, Private,252752, HS-grad,9.0, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K
168,44, Self-emp-inc,78374, Masters,14.0, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States, <=50K
169,28, Private,88419, HS-grad,9.0, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England, <=50K
170,45, Self-emp-not-inc,201080, Masters,14.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
171,36, Private,207157, Some-college,10.0, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico, <=50K
172,39, Federal-gov,235485, Assoc-acdm,12.0, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States, <=50K
173,46, State-gov,102628, Masters,14.0, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States, <=50K
174,18, Private,25828, 11th,7.0, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States, <=50K
175,66, Local-gov,54826, Assoc-voc,11.0, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States, <=50K
176,27, Private,124953, HS-grad,9.0, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States, <=50K
177,28, State-gov,175325, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
178,51, Private,96062, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States, >50K
179,27, Private,428030, Bachelors,13.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States, <=50K
180,28, State-gov,149624, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
181,27, Private,253814, HS-grad,9.0, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States, <=50K
182,21, Private,312956, HS-grad,9.0, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States, <=50K
183,34, Private,483777, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States, <=50K
184,18, Private,183930, HS-grad,9.0, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States, <=50K
185,33, Private,37274, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States, <=50K
186,44, Local-gov,181344, Some-college,10.0, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States, >50K
187,43, Private,114580, Some-college,10.0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
188,30, Private,633742, Some-college,10.0, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States, <=50K
189,40, Private,286370, 7th-8th,4.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico, >50K
190,37, Federal-gov,29054, Some-college,10.0, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States, >50K
191,34, Private,304030, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States, <=50K
192,41, Self-emp-not-inc,143129, Bachelors,13.0, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
194,31, Private,99928, Masters,14.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States, <=50K
195,58, State-gov,109567, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States, >50K
196,38, Private,155222, Some-college,10.0, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States, <=50K
197,24, Private,159567, Some-college,10.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K
198,41, Local-gov,523910, Bachelors,13.0, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
199,47, Private,120939, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States, <=50K
200,41, Federal-gov,130760, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States, <=50K
201,23, Private,197387, 5th-6th,3.0, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,40, Mexico, <=50K
202,36, Private,99374, Some-college,10.0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
203,40, Federal-gov,56795, Masters,14.0, Never-married, Exec-managerial, Not-in-family, White, Female,14084,0,55, United-States, >50K
204,35, Private,138992, Masters,14.0, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,7298,0,40, United-States, >50K
205,24, Self-emp-not-inc,32921, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
206,26, Private,397317, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,40, United-States, <=50K
208,51, Private,259323, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
209,42, Local-gov,254817, Some-college,10.0, Never-married, Prof-specialty, Not-in-family, White, Female,0,1340,40, United-States, <=50K
210,37, State-gov,48211, HS-grad,9.0, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K
211,18, Private,140164, 11th,7.0, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
212,36, Private,128757, Bachelors,13.0, Married-civ-spouse, Other-service, Husband, Black, Male,7298,0,36, United-States, >50K
213,35, Private,36270, HS-grad,9.0, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States, <=50K
214,58, Self-emp-inc,210563, HS-grad,9.0, Married-civ-spouse, Sales, Wife, White, Female,15024,0,35, United-States, >50K
215,17, Private,65368, 11th,7.0, Never-married, Sales, Own-child, White, Female,0,0,12, United-States, <=50K
216,44, Local-gov,160943, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
217,37, Private,208358, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
218,35, Private,153790, Some-college,10.0, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K
219,60, Private,85815, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, <=50K
220,54, Self-emp-inc,125417, 7th-8th,4.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K
221,37, Private,635913, Bachelors,13.0, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,60, United-States, >50K
222,50, Private,313321, Assoc-acdm,12.0, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K
223,38, Private,182609, Bachelors,13.0, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, Poland, <=50K
224,45, Private,109434, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, <=50K
225,25, Private,255004, 10th,6.0, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
226,31, Private,197860, Some-college,10.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
228,90, Private,51744, HS-grad,9.0, Never-married, Other-service, Not-in-family, Black, Male,0,2206,40, United-States, <=50K
229,54, Private,176681, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,20, United-States, <=50K
230,53, Local-gov,140359, Preschool,1.0, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,35, United-States, <=50K
231,18, Private,243313, HS-grad,9.0, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
233,66, Self-emp-not-inc,167687, HS-grad,9.0, Married-civ-spouse, Farming-fishing, Husband, White, Male,1409,0,50, United-States, <=50K
234,75, Private,314209, Assoc-voc,11.0, Widowed, Adm-clerical, Not-in-family, White, Female,0,0,20, Columbia, <=50K
235,65, Private,176796, HS-grad,9.0, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
236,35, Private,538583, 11th,7.0, Separated, Transport-moving, Not-in-family, Black, Male,3674,0,40, United-States, <=50K
237,41, Private,130408, HS-grad,9.0, Divorced, Sales, Unmarried, Black, Female,0,0,38, United-States, <=50K
238,25, Private,159732, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,42, United-States, <=50K
239,33, Private,110978, Some-college,10.0, Divorced, Craft-repair, Other-relative, Other, Female,0,0,40, United-States, <=50K
240,28, Private,76714, Prof-school,15.0, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States, >50K
241,59, State-gov,268700, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
242,40, State-gov,170525, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,38, United-States, <=50K
243,41, Private,180138, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, Iran, >50K
244,38, Local-gov,115076, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,70, United-States, >50K
245,23, Private,115458, HS-grad,9.0, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K
246,40, Private,347890, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
247,41, Self-emp-not-inc,196001, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, White, Female,0,0,20, United-States, <=50K
248,24, State-gov,273905, Assoc-acdm,12.0, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States, <=50K
